label,network,n,k,pr,m,gamma,rep,fitness,p1,p2,tau,burn_per_node,measure_per_node
"WS k=6, p_r=1",ws,500,6,1.0,,0.98,0,-1.327e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.98,1,-1.3700000000000001e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.98,2,-1.41e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.02,0,2.135e-06,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.02,1,2.117582368135751e-22,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.02,2,4.145e-06,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.08,0,5.8070000000000005e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.08,1,5.767e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.08,2,5.5415000000000004e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.13999999999999999,0,9.582e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.13999999999999999,1,9.377499999999999e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.13999999999999999,2,9.366000000000001e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.19999999999999998,0,0.000117075,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.19999999999999998,1,0.00011407999999999999,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.19999999999999998,2,0.00011416,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.26,0,0.000127445,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.26,1,0.00012493999999999998,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.26,2,0.00012983,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.32,0,0.000132015,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.32,1,0.000128285,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.32,2,0.00013142999999999998,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.38,0,0.000132125,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.38,1,0.00013294,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.38,2,0.00012956,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.44,0,0.00012548,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.44,1,0.00012715,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.44,2,0.000122745,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.5,0,0.000117745,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.5,1,0.000115815,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.5,2,0.000115895,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.56,0,0.000106005,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.56,1,0.000104175,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.56,2,0.000102755,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.62,0,8.799e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.62,1,9.2895e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.62,2,9.060499999999999e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.6799999999999999,0,7.5435e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.6799999999999999,1,7.472999999999998e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.6799999999999999,2,7.7995e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.74,0,5.5875e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.74,1,5.974e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.74,2,5.8800000000000006e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.8,0,4.0475e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.8,1,4.1385e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.8,2,4.1505e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.86,0,2.442e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.86,1,2.3815e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.86,2,2.4415e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.9199999999999999,0,4.405e-06,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.9199999999999999,1,5.28e-06,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.9199999999999999,2,3.86e-06,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.98,0,-1.332e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.98,1,-1.3729999999999999e-05,0.02,0.85,0.01,100,100
BA m=3,ba,500,,,3,0.98,2,-1.368e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.02,0,2.695e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.02,1,3.2599999999999997e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.02,2,4.655e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.08,0,6.251e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.08,1,5.9040000000000004e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.08,2,5.4844999999999994e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.13999999999999999,0,9.925e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.13999999999999999,1,9.6755e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.13999999999999999,2,9.648999999999999e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.19999999999999998,0,0.00011876499999999999,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.19999999999999998,1,0.00011933,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.19999999999999998,2,0.00011894,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.26,0,0.00013026500000000001,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.26,1,0.00012784,0.02,0.85,0.01,100,100
